"","time","sample_id","group","type","mutation_type","gen_rearr","mean_amount","sd_amount"
"220",7,"13_2","ev_pop_1","pfu","spacer_deletion","NO",108055555.5425,16957341.7746274
"221",7,"13_3","ev_pop_1","cfu","large_deletion","DEL",533333333.325,125380080.557384
"222",7,"13_3","ev_pop_1","pfu","large_deletion","DEL",95555555.55,41544264.647972
"223",7,"13_4","ev_pop_1","cfu","large_deletion","DUP",452777777.775,114889462.006863
"224",7,"13_4","ev_pop_1","pfu","large_deletion","DUP",84999999.995,56251200.2499327
"225",7,"13_5","ev_pop_1","cfu","spacer_mutation","NO",452777777.8,29221729.3480474
"226",7,"13_5","ev_pop_1","pfu","spacer_mutation","NO",104166666.68,22957735.3787381
"227",7,"13_6","ev_pop_1","cfu","spacer_mutation","NO",497222222.225,34396621.4859862
"228",7,"13_6","ev_pop_1","pfu","spacer_mutation","NO",127499999.985,64657215.8033482
"229",7,"14_1","ev_pop_2","cfu","large_deletion","DEL",403703703.7,194470897.676985
"230",7,"14_1","ev_pop_2","pfu","large_deletion","DEL",189629629.6,125419460.815665
"231",7,"14_2","ev_pop_2","cfu","cas_mutation","NO",437037037.033333,61195228.293428
"232",7,"14_2","ev_pop_2","pfu","cas_mutation","NO",175925925.933333,79801709.0020646
"233",7,"14_3","ev_pop_2","cfu","large_deletion","DUP",448148148.133333,106766928.188916
"234",7,"14_3","ev_pop_2","pfu","large_deletion","DUP",149999999.98,82214714.3505391
"235",7,"14_4","ev_pop_2","cfu","spacer_deletion","NO",474074074.1,97076610.5341465
"236",7,"14_4","ev_pop_2","pfu","spacer_deletion","NO",229259259.263333,114127572.832696
"237",7,"14_5","ev_pop_2","cfu","spacer_mutation","NO",444444444.433333,58794473.5771133
"238",7,"14_5","ev_pop_2","pfu","spacer_mutation","NO",202592592.59,152818513.107003
"239",7,"14_6","ev_pop_2","cfu","large_deletion","DUP",374074074.066667,55924699.510958
"240",7,"14_6","ev_pop_2","pfu","large_deletion","DUP",128888888.883333,80951135.9860051
"241",7,"15_1","ev_pop_3","cfu","cas_mutation","NO",4e+08,115113113.118941
"242",7,"15_1","ev_pop_3","pfu","cas_mutation","NO",145277777.7775,72426349.7008678
"243",7,"15_2","ev_pop_3","cfu","spacer_deletion","NO",330555555.55,57645860.7899474
"244",7,"15_2","ev_pop_3","pfu","spacer_deletion","NO",117777777.7775,41086078.4745349
"245",7,"15_3","ev_pop_3","cfu","cas_mutation","NO",459259259.266667,72293412.1835734
"246",7,"15_3","ev_pop_3","pfu","cas_mutation","NO",153888888.91,124848879.864514
"247",7,"15_4","ev_pop_3","cfu","large_deletion","DEL",433333333.333333,128139584.408836
"248",7,"15_4","ev_pop_3","pfu","large_deletion","DEL",143888888.8975,109474991.047306
"249",7,"15_5","ev_pop_3","cfu","large_deletion","DEL",429629629.633333,73981423.5798225
"250",7,"15_5","ev_pop_3","pfu","large_deletion","DEL",91666666.66,87871492.3913034
"251",7,"15_6","ev_pop_3","cfu","cas_deletion","NO",407407407.4,23129622.1931608
"252",7,"15_6","ev_pop_3","pfu","cas_deletion","NO",136944444.445,77837939.6849132
"253",10,"13_1","ev_pop_1","cfu","spacer_deletion","NO",2295185185.11111,824978301.244649
"254",10,"13_1","ev_pop_1","pfu","spacer_deletion","NO",2925592592.55556,3074169371.92686
"255",10,"13_2","ev_pop_1","cfu","spacer_deletion","NO",2591851851.88889,1289416438.99409
"256",10,"13_2","ev_pop_1","pfu","spacer_deletion","NO",2425083333.3375,2214142499.46108
"257",10,"13_3","ev_pop_1","cfu","large_deletion","DEL",2407037036.96667,1127312985.71432
"258",10,"13_3","ev_pop_1","pfu","large_deletion","DEL",2024666666.71429,1771018068.78423
"259",10,"13_4","ev_pop_1","cfu","large_deletion","DUP",2407037037.11111,1244880008.15119
"260",10,"13_4","ev_pop_1","pfu","large_deletion","DUP",1945833333.3375,1715662452.46012
"261",10,"13_5","ev_pop_1","cfu","spacer_mutation","NO",2814444444.44444,1405996088.26704
"262",10,"13_5","ev_pop_1","pfu","spacer_mutation","NO",2622666666.66667,2481763726.56065
"263",10,"13_6","ev_pop_1","cfu","spacer_mutation","NO",2.625e+09,1289980927.64294
"264",10,"13_6","ev_pop_1","pfu","spacer_mutation","NO",2450083333.375,2145716299.14892
"265",10,"14_1","ev_pop_2","cfu","large_deletion","DEL",1925222222.22222,877650525.234529
"266",10,"14_1","ev_pop_2","pfu","large_deletion","DEL",495888888.888889,318859469.219766
"267",10,"14_2","ev_pop_2","cfu","cas_mutation","NO",3037777777.77778,1184185139.42898
"268",10,"14_2","ev_pop_2","pfu","cas_mutation","NO",736666666.666667,265978382.580239
"269",10,"14_3","ev_pop_2","cfu","large_deletion","DUP",2.52e+09,1225867040.09856
"270",10,"14_3","ev_pop_2","pfu","large_deletion","DUP",748555555.555556,386543371.147117
"271",10,"14_4","ev_pop_2","cfu","spacer_deletion","NO",2815555555.55556,1491200113.25703
"272",10,"14_4","ev_pop_2","pfu","spacer_deletion","NO",859333333.333333,822211195.496632
"273",10,"14_5","ev_pop_2","cfu","spacer_mutation","NO",2554111111.11111,1374278760.33617
"274",10,"14_5","ev_pop_2","pfu","spacer_mutation","NO",8.81e+08,443804010.797559
"275",10,"14_6","ev_pop_2","cfu","large_deletion","DUP",2333333333.33333,818031173.000149
"276",10,"14_6","ev_pop_2","pfu","large_deletion","DUP",492555555.555556,227855826.736508
"277",10,"15_1","ev_pop_3","cfu","cas_mutation","NO",3371111111.11111,1195737801.0389
"278",10,"15_1","ev_pop_3","pfu","cas_mutation","NO",1211962962.93333,853144598.981275
"279",10,"15_2","ev_pop_3","cfu","spacer_deletion","NO",2665555555.55556,798961131.094623
"280",10,"15_2","ev_pop_3","pfu","spacer_deletion","NO",1007851851.81111,550892082.352116
"281",10,"15_3","ev_pop_3","cfu","cas_mutation","NO",3258518518.55556,939465142.04649
"282",10,"15_3","ev_pop_3","pfu","cas_mutation","NO",1074111111.07778,528826189.653927
"283",10,"15_4","ev_pop_3","cfu","large_deletion","DEL",3148888889,973573029.955751
"284",10,"15_4","ev_pop_3","pfu","large_deletion","DEL",1478259259.22222,885789176.905301
"285",10,"15_5","ev_pop_3","cfu","large_deletion","DEL",3150000000.11111,1000957874.63601
"286",10,"15_5","ev_pop_3","pfu","large_deletion","DEL",9.77e+08,461310843.653411
"287",10,"15_6","ev_pop_3","cfu","cas_deletion","NO",3185185185.22222,943124404.271302
"288",10,"15_6","ev_pop_3","pfu","cas_deletion","NO",1458185185.18889,724130457.646227
"289",12,"13_1","ev_pop_1","cfu","spacer_deletion","NO",3666296296.22222,881602777.21322
"290",12,"13_1","ev_pop_1","pfu","spacer_deletion","NO",1628555555.55556,512030977.822631
"291",12,"13_2","ev_pop_1","cfu","spacer_deletion","NO",3037777777.66667,632945056.294164
"292",12,"13_2","ev_pop_1","pfu","spacer_deletion","NO",1740037037,571284625.589667
"293",12,"13_3","ev_pop_1","cfu","large_deletion","DEL",3407037037.11111,1351852067.41223
"294",12,"13_3","ev_pop_1","pfu","large_deletion","DEL",1371074074.11111,513038708.163444
