time,sample_id,group,mutation_type,zong_spi
15,Lys2_ev_3_5,ev_pop_3,large_deletion,0.00541598
15,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.007171677
15,Lys2_1,anc_pop_2,ancestral,0.056131976
15,Lys2_2,anc_pop_2,ancestral,0.043085444
15,Lys2_3,anc_pop_2,ancestral,0.058582174
15,Lys2_4,anc_pop_2,ancestral,0.038340852
15,Lys2_5,anc_pop_2,ancestral,0.044472496
15,Lys2_6,anc_pop_2,ancestral,0.050304365
18,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.013779883
18,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.010136952
18,Lys2_ev_1_3,ev_pop_1,large_deletion,0.009648382
18,Lys2_ev_1_4,ev_pop_1,large_deletion,0.008560237
18,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.011996246
18,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.011291542
18,Lys2_ev_2_1,ev_pop_2,large_deletion,0.004566984
18,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.005428722
18,Lys2_ev_2_3,ev_pop_2,large_deletion,0.0052789
18,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.006457887
18,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.005757803
18,Lys2_ev_2_6,ev_pop_2,large_deletion,0.00539689
18,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.005811742
18,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.0097213
18,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.009110932
18,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.006297233
18,Lys2_ev_3_5,ev_pop_3,large_deletion,0.007022812
18,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.006891347
18,Lys2_1,anc_pop_2,ancestral,0.083475066
18,Lys2_2,anc_pop_2,ancestral,0.1341706
18,Lys2_3,anc_pop_2,ancestral,0.123848719
18,Lys2_4,anc_pop_2,ancestral,0.125041056
18,Lys2_5,anc_pop_2,ancestral,0.055075156
18,Lys2_6,anc_pop_2,ancestral,0.103294056
